Anthony Gordon,15,496,694,71.5,5596,48,17,157.1
Layne Hatcher,31,496,808,61.4,7150,63,25,155.3
Jake Luton,29,496,797,62.2,5630,43,15,135.6
Taylor McHargue,39,496,881,56.3,6117,43,19,126.4
Colin Reardon,33,496,895,55.4,5327,33,29,111.1
Caleb Hanie,36,495,811,61,6337,39,34,134.2
Tyrod Taylor,49,495,865,57.2,7017,44,20,137.5
JaMarcus Russell,35,493,797,61.9,6625,52,21,147.9
Kelly Bryant,39,492,762,64.6,5553,31,16,135
Derrick Vickers,39,492,926,53.1,5388,34,23,109.2
Bryan Randall,48,490,833,58.8,6508,48,31,136
Stephen Calvert,25,489,870,56.2,6731,49,25,134
Marquel Blackwell,22,488,859,56.8,5472,38,14,121.7
Brodie Croyle,39,488,869,56.2,6382,41,22,128.4
Trent Edwards,35,488,868,56.2,5443,36,33,115
Martin Hankins,23,487,805,60.5,5770,43,25,132.1
Marc Verica,28,487,813,59.9,4992,22,31,112.8
Jack Coan,33,486,720,67.5,5574,41,12,148
Zach Collaros,33,485,783,61.9,6272,51,26,144.1
Stephen McGee,39,485,815,59.5,5475,28,13,124.1
Patrick Ramsey,21,485,838,57.9,5768,46,27,127.4
Ryan Tannehill,49,484,774,62.5,5450,42,21,134.2
Brian Anderson,36,483,849,56.9,5403,37,32,117.2
Logan Bonner,35,483,823,58.7,6096,57,19,139.1
Bernard Morris,34,483,803,60.1,5616,31,28,124.7
Chris Robison,26,483,775,62.3,6241,40,18,142.4
Blake Mitchell,32,482,794,60.7,5992,38,30,132.3
Kyle Pohl,31,482,870,55.4,5128,28,20,110.9
Deondre Francois,25,481,829,58,6291,36,21,131
Dalton Sturm,35,481,810,59.4,5775,49,18,134.8
Asad Abdul-Khaliq,43,480,845,56.8,6654,55,25,138.5
Alan Bowman,21,480,717,66.9,5269,33,18,138.8
Luke Getsy,28,480,918,52.3,6149,41,23,118.3
Jeremiah Masoli,36,480,840,57.1,5930,42,24,127.2
Connor Shaw,42,480,733,65.5,6074,56,16,155.9
Chase Brice,45,478,802,59.6,5861,39,29,129.8
Reggie McNeal,42,478,875,54.6,6992,44,23,133.1
David Piland,21,478,833,57.4,5790,41,26,125.8
Kyle Wright,33,478,807,59.2,5835,38,31,127.8
Terrelle Pryor,39,477,783,60.9,6177,57,26,144.6
Devin Gardner,46,475,787,60.4,6336,44,32,138.3
Grant Hedrick,41,475,677,70.2,5656,39,19,153.7
Tua Tagovailoa,32,474,684,69.3,7442,87,11,199.4
Casey Dick,38,473,850,55.6,5856,47,34,123.8
